0.01 0.459422 0.176695 0.363882 
0.02 0.158158 0.684676 0.157166 
0.03 0.344163 0.014163 0.641674 
0.04 0.550567 0.317901 0.131532 
0.05 0.566966 0.359114 0.0739194 
0.06 0.279513 0.131289 0.589197 
0.07 0.205522 0.0334704 0.761008 
0.08 0.342897 0.633308 0.0237943 
0.09 0.286682 0.674361 0.0389563 
0.1 0.239046 0.745626 0.0153281 
0.11 0.104635 0.25413 0.641234 
0.12 0.092309 0.286327 0.621364 
0.13 0.114793 0.592127 0.29308 
0.14 0.0758391 0.417942 0.506219 
0.15 0.0357558 0.158296 0.805948 
0.16 0.100951 0.892172 0.0068762 
0.17 0.0439493 0.400343 0.555708 
0.18 0.00722513 0.010877 0.981898 
0.19 0.0429063 0.514195 0.442898 
0.2 0.0655368 0.929646 0.00481748 
0.21 0.0440837 0.696348 0.259569 
0.22 0.0122654 0.210932 0.776803 
0.23 0.000335254 0.00323805 0.996427 
0.24 0.00954505 0.19651 0.793945 
0.25 0.0255983 0.578181 0.39622 
0.26 0.0359657 0.880192 0.0838427 
0.27 0.0364345 0.958681 0.00488457 
0.28 0.0293073 0.81911 0.151583 
0.29 0.0192461 0.556504 0.42425 
0.3 0.0102398 0.284168 0.705592 
0.31 0.00442653 0.0872652 0.908308 
0.32 0.00220842 0.00640627 0.991385 
0.33 0.00289589 0.0420324 0.955072 
0.34 0.00537181 0.168113 0.826515 
0.35 0.00855498 0.346868 0.644577 
0.36 0.0116337 0.540249 0.448117 
0.37 0.0141253 0.716973 0.268902 
0.38 0.0158346 0.855574 0.128591 
0.39 0.0167719 0.94462 0.0386084 
0.4 0.0170666 0.981262 0.00167094 
0.41 0.016898 0.969067 0.0140351 
0.42 0.0164461 0.915747 0.0678064 
0.43 0.015864 0.831176 0.15296 
0.44 0.0152656 0.725818 0.258917 
0.45 0.014724 0.609625 0.375651 
0.46 0.0142763 0.491342 0.494382 
0.47 0.0139318 0.37814 0.607928 
0.48 0.01368 0.275504 0.710816 
0.49 0.0134986 0.187291 0.799211 
0.5 0.0133598 0.115885 0.870755 
0.51 0.0132354 0.0624201 0.924344 
0.52 0.0130997 0.0270114 0.959889 
0.53 0.0129316 0.00898852 0.97808 
0.54 0.0127156 0.00710826 0.980176 
0.55 0.0124422 0.0197394 0.967818 
0.56 0.0121072 0.0450182 0.942875 
0.57 0.0117112 0.0809738 0.907315 
0.58 0.0112587 0.125625 0.863116 
0.59 0.0107574 0.177055 0.812188 
0.6 0.010217 0.23346 0.756323 
0.61 0.00964886 0.293186 0.697165 
0.62 0.00906482 0.354748 0.636188 
0.63 0.00847696 0.416839 0.574684 
0.64 0.00789699 0.478332 0.513771 
0.65 0.00733593 0.538275 0.454389 
0.66 0.00680384 0.595879 0.397317 
0.67 0.00630968 0.650509 0.343182 
0.68 0.00586118 0.701669 0.29247 
0.69 0.00546481 0.748987 0.245548 
0.7 0.00512578 0.792202 0.202672 
0.71 0.00484808 0.831148 0.164003 
0.72 0.00463458 0.865743 0.129623 
0.73 0.00448706 0.895972 0.0995413 
0.74 0.00440636 0.92188 0.0737138 
0.75 0.00439244 0.94356 0.0520475 
0.76 0.00444452 0.961144 0.0344119 
0.77 0.00456116 0.974792 0.0206466 
0.78 0.00474036 0.984691 0.0105687 
0.79 0.00497968 0.991042 0.00397865 
0.8 0.00527628 0.994058 0.000665828 
0.81 0.00562706 0.99396 0.000412644 
0.82 0.00602867 0.990973 0.00299848 
0.83 0.00647762 0.98532 0.00820275 
0.84 0.00697033 0.977222 0.0158075 
0.85 0.00750314 0.966898 0.0255992 
0.86 0.00807243 0.954557 0.0373709 
0.87 0.00867456 0.940403 0.0509228 
0.88 0.00930599 0.92463 0.0660639 
0.89 0.00996326 0.907425 0.0826119 
0.9 0.010643 0.888962 0.100395 
0.91 0.011342 0.869409 0.119249 
0.92 0.0120571 0.84892 0.139022 
0.93 0.0127854 0.827643 0.159572 
0.94 0.0135241 0.805711 0.180765 
0.95 0.0142706 0.783252 0.202477 
0.96 0.0150224 0.760383 0.224594 
