0.01 0.383791 0.234874 0.381334 
0.02 0.170162 0.713555 0.116283 
0.03 0.160197 0.00885725 0.830946 
0.04 0.579016 0.266925 0.154059 
0.05 0.629119 0.274976 0.0959047 
0.06 0.489873 0.106151 0.403976 
0.07 0.372235 0.0440931 0.583672 
0.08 0.409577 0.561228 0.0291955 
0.09 0.272153 0.660287 0.0675594 
0.1 0.292771 0.690709 0.0165206 
0.11 0.303321 0.188116 0.508563 
0.12 0.109839 0.337463 0.552698 
0.13 0.245359 0.522069 0.232573 
0.14 0.0763215 0.463866 0.459813 
0.15 0.194476 0.116837 0.688686 
0.16 0.128568 0.866087 0.00534436 
0.17 0.0500591 0.441788 0.508153 
0.18 0.124678 0.00337653 0.871946 
0.19 0.151869 0.464255 0.383876 
0.2 0.0845052 0.912258 0.00323692 
0.21 0.0301826 0.723834 0.245983 
0.22 0.0423342 0.241562 0.716104 
0.23 0.0869493 0.00345146 0.909599 
0.24 0.114191 0.166778 0.719031 
0.25 0.105556 0.540218 0.354225 
0.26 0.0728433 0.855451 0.0717058 
0.27 0.0377619 0.956539 0.00569865 
0.28 0.0161107 0.836481 0.147408 
0.29 0.0127943 0.583335 0.40387 
0.3 0.0241979 0.309481 0.666321 
0.31 0.0428913 0.103066 0.854043 
0.32 0.0615439 0.00908714 0.929369 
0.33 0.0750402 0.0319607 0.892999 
0.34 0.081011 0.14835 0.770639 
0.35 0.0794045 0.321733 0.598863 
0.36 0.071679 0.514143 0.414178 
0.37 0.0599961 0.693604 0.2464 
0.38 0.0465983 0.837573 0.115829 
0.39 0.0334171 0.933458 0.0331245 
0.4 0.0218855 0.977369 0.000745046 
0.41 0.0128984 0.972045 0.015057 
0.42 0.0068653 0.924622 0.0685127 
0.43 0.00380864 0.844634 0.151557 
0.44 0.0034745 0.742409 0.254117 
0.45 0.00543682 0.627911 0.366652 
0.46 0.00918438 0.510008 0.480807 
0.47 0.0141873 0.396059 0.589754 
0.48 0.0199436 0.291769 0.688288 
0.49 0.0260082 0.201222 0.77277 
0.5 0.0320088 0.127021 0.84097 
0.51 0.0376504 0.0704959 0.891854 
0.52 0.0427141 0.0319303 0.925356 
0.53 0.0470502 0.0107932 0.942157 
0.54 0.0505697 0.0059505 0.94348 
0.55 0.0532338 0.0158526 0.930914 
0.56 0.0550444 0.0386927 0.906263 
0.57 0.0560345 0.0725352 0.87143 
0.58 0.0562598 0.115417 0.828323 
0.59 0.0557916 0.165424 0.778784 
0.6 0.0547105 0.220746 0.724544 
0.61 0.053102 0.279711 0.667187 
0.62 0.051052 0.340813 0.608135 
0.63 0.0486447 0.40272 0.548636 
0.64 0.0459597 0.464274 0.489766 
0.65 0.0430712 0.524495 0.432433 
0.66 0.0400467 0.582565 0.377388 
0.67 0.0369467 0.63782 0.325233 
0.68 0.0338244 0.689737 0.276439 
0.69 0.0307261 0.737918 0.231356 
0.7 0.027691 0.78208 0.190229 
0.71 0.024752 0.822034 0.153214 
0.72 0.0219361 0.857679 0.120385 
0.73 0.0192647 0.888983 0.0917521 
0.74 0.0167544 0.915978 0.0672677 
0.75 0.0144175 0.938742 0.0468402 
0.76 0.0122623 0.957397 0.0303409 
0.77 0.0102939 0.972094 0.0176123 
0.78 0.00851445 0.983011 0.00847501 
0.79 0.00692381 0.990342 0.00273369 
0.8 0.00551968 0.994298 0.000182112 
0.81 0.00429808 0.995094 0.000607469 
0.82 0.00325369 0.992952 0.00379405 
0.83 0.0023801 0.988094 0.00952624 
0.84 0.00167003 0.980739 0.017591 
0.85 0.00111559 0.971105 0.0277797 
0.86 0.000708457 0.959401 0.0398901 
0.87 0.000439999 0.945833 0.053727 
0.88 0.000301445 0.930595 0.0691038 
0.89 0.000283986 0.913874 0.0858425 
0.9 0.000378871 0.895847 0.103775 
0.91 0.000577481 0.876681 0.122741 
0.92 0.000871398 0.856536 0.142593 
0.93 0.00125245 0.835557 0.163191 
0.94 0.00171275 0.813884 0.184404 
0.95 0.00224474 0.791643 0.206112 
0.96 0.00284118 0.768955 0.228203 
0.97 0.0034952 0.745929 0.250575 
0.98 0.00420027 0.722666 0.273133 
0.99 0.00495024 0.699259 0.295791 
1 0.00573932 0.675792 0.318469 
1.01 0.00656208 0.652342 0.341095 
1.02 0.00741343 0.62898 0.363606 
1.03 0.00828863 0.605769 0.385942 
1.04 0.00918329 0.582765 0.408052 
1.05 0.0100933 0.56002 0.429887 
1.06 0.0110149 0.537579 0.451406 
1.07 0.0119446 0.515482 0.472573 
1.08 0.0128792 0.493766 0.493355 
1.09 0.0138158 0.47246 0.513724 
1.1 0.0147517 0.451592 0.533656 
1.11 0.0156844 0.431186 0.55313 
1.12 0.0166117 0.411261 0.572127 
1.13 0.0175316 0.391833 0.590635 
1.14 0.0184423 0.372917 0.608641 
1.15 0.0193422 0.354522 0.626136 
1.16 0.0202298 0.336658 0.643112 
1.17 0.0211037 0.31933 0.659566 
1.18 0.021963 0.302544 0.675493 
1.19 0.0228065 0.2863 0.690893 
1.2 0.0236334 0.270601 0.705766 
1.21 0.0244429 0.255444 0.720113 
1.22 0.0252344 0.240829 0.733937 
1.23 0.0260074 0.226751 0.747242 
1.24 0.0267613 0.213205 0.760033 
1.25 0.0274958 0.200188 0.772316 
1.26 0.0282107 0.187692 0.784097 
1.27 0.0289056 0.17571 0.795384 
1.28 0.0295806 0.164235 0.806184 
1.29 0.0302354 0.153259 0.816506 
1.3 0.03087 0.142772 0.826358 
1.31 0.0314845 0.132767 0.835749 
1.32 0.0320789 0.123232 0.844689 
1.33 0.0326534 0.114159 0.853187 
1.34 0.0332079 0.105538 0.861254 
1.35 0.0337428 0.0973583 0.868899 
1.36 0.0342582 0.0896097 0.876132 
1.37 0.0347544 0.0822819 0.882964 
1.38 0.0352315 0.0753644 0.889404 
1.39 0.0356899 0.0688468 0.895463 
1.4 0.0361299 0.0627187 0.901151 
1.41 0.0365517 0.0569694 0.906479 
1.42 0.0369556 0.0515888 0.911456 
1.43 0.037342 0.0465663 0.916092 
1.44 0.0377112 0.0418919 0.920397 
1.45 0.0380636 0.0375554 0.924381 
1.46 0.0383995 0.0335468 0.928054 
1.47 0.0387192 0.0298562 0.931425 
1.48 0.0390232 0.026474 0.934503 
1.49 0.0393117 0.0233905 0.937298 
1.5 0.0395852 0.0205963 0.939819 
1.51 0.0398439 0.0180824 0.942074 
1.52 0.0400883 0.0158395 0.944072 
1.53 0.0403187 0.0138589 0.945822 
1.54 0.0405355 0.0121318 0.947333 
1.55 0.0407389 0.0106498 0.948611 
1.56 0.0409295 0.00940455 0.949666 
1.57 0.0411075 0.00838796 0.950505 
1.58 0.0412732 0.00759212 0.951135 
1.59 0.0414271 0.00700928 0.951564 
1.6 0.0415694 0.00663193 0.951799 
1.61 0.0417005 0.00645271 0.951847 
1.62 0.0418207 0.00646448 0.951715 
1.63 0.0419303 0.00666027 0.951409 
1.64 0.0420296 0.0070333 0.950937 
1.65 0.042119 0.00757699 0.950304 
1.66 0.0421987 0.00828491 0.949516 
1.67 0.0422691 0.00915084 0.94858 
1.68 0.0423304 0.0101687 0.947501 
1.69 0.0423829 0.0113327 0.946284 
1.7 0.0424269 0.012637 0.944936 
1.71 0.0424627 0.0140761 0.943461 
1.72 0.0424905 0.0156447 0.941865 
1.73 0.0425107 0.0173375 0.940152 
1.74 0.0425233 0.0191495 0.938327 
1.75 0.0425288 0.0210757 0.936395 
1.76 0.0425273 0.0231114 0.934361 
1.77 0.0425191 0.025252 0.932229 
1.78 0.0425045 0.027493 0.930003 
1.79 0.0424835 0.0298302 0.927686 
1.8 0.0424565 0.0322592 0.925284 
1.81 0.0424237 0.0347761 0.9228 
1.82 0.0423852 0.0373769 0.920238 
1.83 0.0423413 0.0400579 0.917601 
1.84 0.0422922 0.0428153 0.914892 
1.85 0.042238 0.0456457 0.912116 
1.86 0.042179 0.0485455 0.909276 
1.87 0.0421153 0.0515114 0.906373 
1.88 0.0420471 0.0545402 0.903413 
1.89 0.0419746 0.0576289 0.900396 
1.9 0.0418979 0.0607744 0.897328 
1.91 0.0418173 0.0639738 0.894209 
1.92 0.0417328 0.0672242 0.891043 
1.93 0.0416445 0.0705231 0.887832 
1.94 0.0415528 0.0738678 0.884579 
1.95 0.0414577 0.0772556 0.881287 
1.96 0.0413592 0.0806843 0.877956 
1.97 0.0412577 0.0841515 0.874591 
1.98 0.0411532 0.0876548 0.871192 
1.99 0.0410458 0.0911921 0.867762 
2 0.0409356 0.0947612 0.864303 
2.01 0.0408228 0.0983602 0.860817 
2.02 0.0407075 0.101987 0.857305 
